nohup: ignoring input
###training start~~~~
hash_gan.py:285: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](0/58368): Loss_D: 127.4876633 Loss_G: 0.5216
===> Epoch[0](1/58368): Loss_D: 127.4980850 Loss_G: 0.5035
===> Epoch[0](2/58368): Loss_D: 126.8524857 Loss_G: 0.4872
===> Epoch[0](3/58368): Loss_D: 126.8034821 Loss_G: 0.4741
===> Epoch[0](4/58368): Loss_D: 126.9065628 Loss_G: 0.4626
===> Epoch[0](5/58368): Loss_D: 126.5942535 Loss_G: 0.4525
===> Epoch[0](6/58368): Loss_D: 126.4131546 Loss_G: 0.4432
===> Epoch[0](7/58368): Loss_D: 126.2865753 Loss_G: 0.4365
===> Epoch[0](8/58368): Loss_D: 125.8264618 Loss_G: 0.4300
===> Epoch[0](9/58368): Loss_D: 125.7794266 Loss_G: 0.4260
===> Epoch[0](10/58368): Loss_D: 125.6366882 Loss_G: 0.4217
===> Epoch[0](11/58368): Loss_D: 125.3395996 Loss_G: 0.4202
===> Epoch[0](12/58368): Loss_D: 125.3669891 Loss_G: 0.4180
===> Epoch[0](13/58368): Loss_D: 125.5070724 Loss_G: 0.4165
===> Epoch[0](14/58368): Loss_D: 124.9549942 Loss_G: 0.4162
===> Epoch[0](15/58368): Loss_D: 125.4614639 Loss_G: 0.4159
===> Epoch[0](16/58368): Loss_D: 125.8059082 Loss_G: 0.4147
===> Epoch[0](17/58368): Loss_D: 125.2623215 Loss_G: 0.4146
===> Epoch[0](18/58368): Loss_D: 124.9893341 Loss_G: 0.4134
===> Epoch[0](19/58368): Loss_D: 124.7167282 Loss_G: 0.4127
===> Epoch[0](20/58368): Loss_D: 124.6714859 Loss_G: 0.4126
===> Epoch[0](21/58368): Loss_D: 125.1602325 Loss_G: 0.4124
===> Epoch[0](22/58368): Loss_D: 124.7515182 Loss_G: 0.4119
===> Epoch[0](23/58368): Loss_D: 124.7147751 Loss_G: 0.4111
===> Epoch[0](24/58368): Loss_D: 124.9740677 Loss_G: 0.4112
===> Epoch[0](25/58368): Loss_D: 124.6842880 Loss_G: 0.4101
===> Epoch[0](26/58368): Loss_D: 125.2686005 Loss_G: 0.4104
===> Epoch[0](27/58368): Loss_D: 124.7952194 Loss_G: 0.4092
===> Epoch[0](28/58368): Loss_D: 124.9084473 Loss_G: 0.4097
===> Epoch[0](29/58368): Loss_D: 124.5560455 Loss_G: 0.4087
===> Epoch[0](30/58368): Loss_D: 124.8854294 Loss_G: 0.4084
===> Epoch[0](31/58368): Loss_D: 124.0042191 Loss_G: 0.4085
===> Epoch[0](32/58368): Loss_D: 124.6089783 Loss_G: 0.4078
===> Epoch[0](33/58368): Loss_D: 124.3959351 Loss_G: 0.4077
===> Epoch[0](34/58368): Loss_D: 123.9682770 Loss_G: 0.4069
===> Epoch[0](35/58368): Loss_D: 124.2973862 Loss_G: 0.4070
===> Epoch[0](36/58368): Loss_D: 124.2090073 Loss_G: 0.4069
===> Epoch[0](37/58368): Loss_D: 124.7535172 Loss_G: 0.4061
===> Epoch[0](38/58368): Loss_D: 124.2456818 Loss_G: 0.4056
===> Epoch[0](39/58368): Loss_D: 124.0403900 Loss_G: 0.4061
===> Epoch[0](40/58368): Loss_D: 124.6288986 Loss_G: 0.4050
===> Epoch[0](41/58368): Loss_D: 124.1333084 Loss_G: 0.4054
===> Epoch[0](42/58368): Loss_D: 123.4697418 Loss_G: 0.4047
===> Epoch[0](43/58368): Loss_D: 124.5780487 Loss_G: 0.4041
===> Epoch[0](44/58368): Loss_D: 123.5931549 Loss_G: 0.4042
===> Epoch[0](45/58368): Loss_D: 123.7636948 Loss_G: 0.4041
===> Epoch[0](46/58368): Loss_D: 123.8984070 Loss_G: 0.4040
===> Epoch[0](47/58368): Loss_D: 124.1136780 Loss_G: 0.4036
===> Epoch[0](48/58368): Loss_D: 123.7814484 Loss_G: 0.4036
===> Epoch[0](49/58368): Loss_D: 123.8100357 Loss_G: 0.4033
===> Epoch[0](50/58368): Loss_D: 123.6616821 Loss_G: 0.4032
===> Epoch[0](51/58368): Loss_D: 124.3059692 Loss_G: 0.4022
===> Epoch[0](52/58368): Loss_D: 123.3009415 Loss_G: 0.4033
===> Epoch[0](53/58368): Loss_D: 124.2921066 Loss_G: 0.4028
===> Epoch[0](54/58368): Loss_D: 123.2375259 Loss_G: 0.4021
===> Epoch[0](55/58368): Loss_D: 123.6018448 Loss_G: 0.4017
===> Epoch[0](56/58368): Loss_D: 123.8504333 Loss_G: 0.4012
===> Epoch[0](57/58368): Loss_D: 123.5135880 Loss_G: 0.4003
===> Epoch[0](58/58368): Loss_D: 123.2733612 Loss_G: 0.4005
===> Epoch[0](59/58368): Loss_D: 123.8482742 Loss_G: 0.4012
===> Epoch[0](60/58368): Loss_D: 123.2979355 Loss_G: 0.4004
===> Epoch[0](61/58368): Loss_D: 123.5871124 Loss_G: 0.4001
===> Epoch[0](62/58368): Loss_D: 122.6513596 Loss_G: 0.3995
===> Epoch[0](63/58368): Loss_D: 123.1918488 Loss_G: 0.3986
===> Epoch[0](64/58368): Loss_D: 124.0373764 Loss_G: 0.3994
===> Epoch[0](65/58368): Loss_D: 122.5337830 Loss_G: 0.3989
===> Epoch[0](66/58368): Loss_D: 122.5681992 Loss_G: 0.3992
===> Epoch[0](67/58368): Loss_D: 123.5662842 Loss_G: 0.3989
===> Epoch[0](68/58368): Loss_D: 122.5977173 Loss_G: 0.3991
===> Epoch[0](69/58368): Loss_D: 122.9660645 Loss_G: 0.3978
===> Epoch[0](70/58368): Loss_D: 122.9124374 Loss_G: 0.3985
===> Epoch[0](71/58368): Loss_D: 122.5615616 Loss_G: 0.3980
===> Epoch[0](72/58368): Loss_D: 122.2210236 Loss_G: 0.3977
===> Epoch[0](73/58368): Loss_D: 122.3056641 Loss_G: 0.3978
===> Epoch[0](74/58368): Loss_D: 122.5331039 Loss_G: 0.3971
