nohup: ignoring input
###training start~~~~
hash_gan.py:285: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](0/58368): Loss_D: 63.8381386 Loss_G: 0.5244
===> Epoch[0](1/58368): Loss_D: 63.7876053 Loss_G: 0.5069
===> Epoch[0](2/58368): Loss_D: 63.6468430 Loss_G: 0.4925
===> Epoch[0](3/58368): Loss_D: 63.4786377 Loss_G: 0.4783
===> Epoch[0](4/58368): Loss_D: 63.3719139 Loss_G: 0.4669
===> Epoch[0](5/58368): Loss_D: 63.2254257 Loss_G: 0.4555
===> Epoch[0](6/58368): Loss_D: 63.3067131 Loss_G: 0.4471
===> Epoch[0](7/58368): Loss_D: 63.1247902 Loss_G: 0.4394
===> Epoch[0](8/58368): Loss_D: 62.9172058 Loss_G: 0.4329
===> Epoch[0](9/58368): Loss_D: 62.9319038 Loss_G: 0.4278
===> Epoch[0](10/58368): Loss_D: 62.9200096 Loss_G: 0.4245
===> Epoch[0](11/58368): Loss_D: 62.7796135 Loss_G: 0.4216
===> Epoch[0](12/58368): Loss_D: 62.7520638 Loss_G: 0.4198
===> Epoch[0](13/58368): Loss_D: 62.7988358 Loss_G: 0.4184
===> Epoch[0](14/58368): Loss_D: 62.7903404 Loss_G: 0.4180
===> Epoch[0](15/58368): Loss_D: 62.5841675 Loss_G: 0.4166
===> Epoch[0](16/58368): Loss_D: 62.4339142 Loss_G: 0.4158
===> Epoch[0](17/58368): Loss_D: 62.6230011 Loss_G: 0.4159
===> Epoch[0](18/58368): Loss_D: 62.6283379 Loss_G: 0.4146
===> Epoch[0](19/58368): Loss_D: 62.8727875 Loss_G: 0.4144
===> Epoch[0](20/58368): Loss_D: 62.8250656 Loss_G: 0.4142
===> Epoch[0](21/58368): Loss_D: 62.4719238 Loss_G: 0.4143
===> Epoch[0](22/58368): Loss_D: 62.4366493 Loss_G: 0.4137
===> Epoch[0](23/58368): Loss_D: 62.6734161 Loss_G: 0.4135
===> Epoch[0](24/58368): Loss_D: 62.4026451 Loss_G: 0.4128
===> Epoch[0](25/58368): Loss_D: 62.1939735 Loss_G: 0.4124
===> Epoch[0](26/58368): Loss_D: 62.1321640 Loss_G: 0.4121
===> Epoch[0](27/58368): Loss_D: 62.4178200 Loss_G: 0.4104
===> Epoch[0](28/58368): Loss_D: 62.2091522 Loss_G: 0.4102
===> Epoch[0](29/58368): Loss_D: 62.3442192 Loss_G: 0.4106
===> Epoch[0](30/58368): Loss_D: 62.5431290 Loss_G: 0.4099
===> Epoch[0](31/58368): Loss_D: 62.4063606 Loss_G: 0.4100
===> Epoch[0](32/58368): Loss_D: 62.2667236 Loss_G: 0.4098
===> Epoch[0](33/58368): Loss_D: 62.3838959 Loss_G: 0.4098
===> Epoch[0](34/58368): Loss_D: 62.4381752 Loss_G: 0.4093
===> Epoch[0](35/58368): Loss_D: 62.5606499 Loss_G: 0.4088
===> Epoch[0](36/58368): Loss_D: 62.2481766 Loss_G: 0.4077
===> Epoch[0](37/58368): Loss_D: 62.3859291 Loss_G: 0.4074
===> Epoch[0](38/58368): Loss_D: 62.1748772 Loss_G: 0.4074
===> Epoch[0](39/58368): Loss_D: 62.0020409 Loss_G: 0.4077
===> Epoch[0](40/58368): Loss_D: 61.9971695 Loss_G: 0.4067
===> Epoch[0](41/58368): Loss_D: 61.8743668 Loss_G: 0.4063
===> Epoch[0](42/58368): Loss_D: 62.0677528 Loss_G: 0.4053
===> Epoch[0](43/58368): Loss_D: 62.1847038 Loss_G: 0.4053
===> Epoch[0](44/58368): Loss_D: 62.3770866 Loss_G: 0.4054
===> Epoch[0](45/58368): Loss_D: 62.3732681 Loss_G: 0.4055
===> Epoch[0](46/58368): Loss_D: 62.1022644 Loss_G: 0.4058
===> Epoch[0](47/58368): Loss_D: 62.3143272 Loss_G: 0.4051
===> Epoch[0](48/58368): Loss_D: 61.8141823 Loss_G: 0.4042
===> Epoch[0](49/58368): Loss_D: 62.0929909 Loss_G: 0.4044
===> Epoch[0](50/58368): Loss_D: 62.0803299 Loss_G: 0.4039
===> Epoch[0](51/58368): Loss_D: 61.9530411 Loss_G: 0.4033
===> Epoch[0](52/58368): Loss_D: 62.2232628 Loss_G: 0.4040
===> Epoch[0](53/58368): Loss_D: 62.1276169 Loss_G: 0.4033
===> Epoch[0](54/58368): Loss_D: 61.6965370 Loss_G: 0.4029
===> Epoch[0](55/58368): Loss_D: 61.7572899 Loss_G: 0.4026
===> Epoch[0](56/58368): Loss_D: 62.1428871 Loss_G: 0.4028
===> Epoch[0](57/58368): Loss_D: 62.1418495 Loss_G: 0.4029
===> Epoch[0](58/58368): Loss_D: 62.0827484 Loss_G: 0.4025
===> Epoch[0](59/58368): Loss_D: 61.3388786 Loss_G: 0.4017
===> Epoch[0](60/58368): Loss_D: 61.8715973 Loss_G: 0.4017
===> Epoch[0](61/58368): Loss_D: 61.9745064 Loss_G: 0.4018
===> Epoch[0](62/58368): Loss_D: 62.1976700 Loss_G: 0.4010
===> Epoch[0](63/58368): Loss_D: 62.1698151 Loss_G: 0.4003
===> Epoch[0](64/58368): Loss_D: 61.3949013 Loss_G: 0.4007
===> Epoch[0](65/58368): Loss_D: 61.6195908 Loss_G: 0.4006
===> Epoch[0](66/58368): Loss_D: 61.5209198 Loss_G: 0.4001
===> Epoch[0](67/58368): Loss_D: 61.4270668 Loss_G: 0.4004
===> Epoch[0](68/58368): Loss_D: 61.4433632 Loss_G: 0.4004
===> Epoch[0](69/58368): Loss_D: 61.5908356 Loss_G: 0.4001
===> Epoch[0](70/58368): Loss_D: 61.5208397 Loss_G: 0.3995
===> Epoch[0](71/58368): Loss_D: 60.9688263 Loss_G: 0.3993
===> Epoch[0](72/58368): Loss_D: 61.9725189 Loss_G: 0.3991
===> Epoch[0](73/58368): Loss_D: 61.9334946 Loss_G: 0.3986
===> Epoch[0](74/58368): Loss_D: 61.4881172 Loss_G: 0.3989
===> Epoch[0](75/58368): Loss_D: 61.4790916 Loss_G: 0.3989
===> Epoch[0](76/58368): Loss_D: 61.2853127 Loss_G: 0.3979
===> Epoch[0](77/58368): Loss_D: 61.2159157 Loss_G: 0.3978
===> Epoch[0](78/58368): Loss_D: 61.3956947 Loss_G: 0.3986
===> Epoch[0](79/58368): Loss_D: 61.1204681 Loss_G: 0.3979
===> Epoch[0](80/58368): Loss_D: 61.4051437 Loss_G: 0.3978
===> Epoch[0](81/58368): Loss_D: 61.2242661 Loss_G: 0.3982
===> Epoch[0](82/58368): Loss_D: 61.6994400 Loss_G: 0.3982
===> Epoch[0](83/58368): Loss_D: 61.3428154 Loss_G: 0.3968
===> Epoch[0](84/58368): Loss_D: 61.4241219 Loss_G: 0.3972
===> Epoch[0](85/58368): Loss_D: 61.5532303 Loss_G: 0.3966
===> Epoch[0](86/58368): Loss_D: 61.1293869 Loss_G: 0.3961
===> Epoch[0](87/58368): Loss_D: 61.2832718 Loss_G: 0.3965
===> Epoch[0](88/58368): Loss_D: 61.4848709 Loss_G: 0.3968
===> Epoch[0](89/58368): Loss_D: 60.8015480 Loss_G: 0.3966
===> Epoch[0](90/58368): Loss_D: 60.7633057 Loss_G: 0.3962
===> Epoch[0](91/58368): Loss_D: 61.2172127 Loss_G: 0.3954
===> Epoch[0](92/58368): Loss_D: 61.2251778 Loss_G: 0.3954
===> Epoch[0](93/58368): Loss_D: 61.0884171 Loss_G: 0.3956
===> Epoch[0](94/58368): Loss_D: 60.9474869 Loss_G: 0.3955
===> Epoch[0](95/58368): Loss_D: 61.2848167 Loss_G: 0.3955
===> Epoch[0](96/58368): Loss_D: 60.8079987 Loss_G: 0.3946
===> Epoch[0](97/58368): Loss_D: 60.8241959 Loss_G: 0.3951
===> Epoch[0](98/58368): Loss_D: 60.6732674 Loss_G: 0.3954
===> Epoch[0](99/58368): Loss_D: 60.8006592 Loss_G: 0.3949
===> Epoch[0](100/58368): Loss_D: 61.1729813 Loss_G: 0.3940
===> Epoch[0](101/58368): Loss_D: 60.4438629 Loss_G: 0.3945
===> Epoch[0](102/58368): Loss_D: 60.8658714 Loss_G: 0.3942
===> Epoch[0](103/58368): Loss_D: 60.7557182 Loss_G: 0.3934
===> Epoch[0](104/58368): Loss_D: 60.5808220 Loss_G: 0.3941
===> Epoch[0](105/58368): Loss_D: 59.9868622 Loss_G: 0.3940
===> Epoch[0](106/58368): Loss_D: 60.2820129 Loss_G: 0.3929
===> Epoch[0](107/58368): Loss_D: 60.2819862 Loss_G: 0.3940
===> Epoch[0](108/58368): Loss_D: 60.6483803 Loss_G: 0.3934
===> Epoch[0](109/58368): Loss_D: 60.7709045 Loss_G: 0.3932
===> Epoch[0](110/58368): Loss_D: 60.2951584 Loss_G: 0.3925
===> Epoch[0](111/58368): Loss_D: 60.5835609 Loss_G: 0.3926
===> Epoch[0](112/58368): Loss_D: 60.3193512 Loss_G: 0.3926
===> Epoch[0](113/58368): Loss_D: 60.0464172 Loss_G: 0.3933
===> Epoch[0](114/58368): Loss_D: 60.7919693 Loss_G: 0.3923
===> Epoch[0](115/58368): Loss_D: 60.0604439 Loss_G: 0.3926
===> Epoch[0](116/58368): Loss_D: 60.1905670 Loss_G: 0.3927
===> Epoch[0](117/58368): Loss_D: 59.7449570 Loss_G: 0.3923
===> Epoch[0](118/58368): Loss_D: 60.5464249 Loss_G: 0.3918
===> Epoch[0](119/58368): Loss_D: 60.1707115 Loss_G: 0.3925
===> Epoch[0](120/58368): Loss_D: 59.9805450 Loss_G: 0.3919
===> Epoch[0](121/58368): Loss_D: 60.0748367 Loss_G: 0.3912
===> Epoch[0](122/58368): Loss_D: 60.7519608 Loss_G: 0.3916
===> Epoch[0](123/58368): Loss_D: 60.2013512 Loss_G: 0.3913
===> Epoch[0](124/58368): Loss_D: 60.2055664 Loss_G: 0.3917
===> Epoch[0](125/58368): Loss_D: 60.6470222 Loss_G: 0.3910
===> Epoch[0](126/58368): Loss_D: 59.8796959 Loss_G: 0.3906
===> Epoch[0](127/58368): Loss_D: 60.2875862 Loss_G: 0.3915
===> Epoch[0](128/58368): Loss_D: 59.9717255 Loss_G: 0.3916
